4.0	Using Scripture to Make Requests: Promises and Scripture Prayers (version: CUV)
（詩 66:18-20）	我若心裏注重罪孽， 主必不聽。但上帝實在聽見了； 他側耳聽了我禱告的聲音。上帝是應當稱頌的！ 他並沒有推卻我的禱告， 也沒有叫他的慈愛離開我。
（詩 72:12）	因為，窮乏人呼求的時候，他要搭救； 沒有人幫助的困苦人，他也要搭救。
（詩 86:7）	我在患難之日要求告你， 因為你必應允我。
（詩 91:15-16）	他若求告我，我就應允他； 他在急難中，我要與他同在； 我要搭救他，使他尊貴。我要使他足享長壽， 將我的救恩顯明給他。
（詩 102:17）	他垂聽窮人的禱告， 並不藐視他們的祈求。
（詩 118:5）	我在急難中求告耶和華，他就應允我， 把我〔安置〕在寬闊之地。
（詩 145:18-19）	凡求告耶和華的，就是誠心求告他的， 耶和華便與他們相近。敬畏他的，他必成就他們的心願， 也必聽他們的呼求，拯救他們。
（賽 30:19）	百姓必在錫安、在耶路撒冷居住；你不再哭泣。主必因你哀求的聲音施恩給你；他聽見的時候就必應允你。
（賽 58:8-9）	這樣，你的光就必發現如早晨的光； 你所得的醫治要速速發明。 你的公義必在你前面行； 耶和華的榮光必作你的後盾。那時你求告，耶和華必應允； 你呼求，他必說：我在這裏。 你若從你中間除掉〔重〕軛 和指摘人的指頭，並發惡言的事，
（賽 64:4）	從古以來，人未曾聽見、未曾耳聞、未曾眼見 在你以外有甚麼神為等候他的人行事。
（耶 29:12-13）	你們要呼求我，禱告我，我就應允你們。你們尋求我，若專心尋求我，就必尋見。
（但 10:12）	他就說：「但以理啊，不要懼怕！因為從你第一日專心求明白〔將來的事〕，又在你上帝面前刻苦己心，你的言語已蒙應允；我是因你的言語而來。
（但 9:23）	你初懇求的時候，就發出命令，我來告訴你，因你大蒙眷愛；所以你要思想明白這〔以下的〕事和異象。
（何 14:8）	以法蓮〔必說〕： 我與偶像還有甚麼關涉呢？ 我－〔耶和華〕回答他，也必顧念他。 我如青翠的松樹； 你的果子從我而得。
（太 6:8）	你們不可效法他們；因為你們沒有祈求以先，你們所需用的，你們的父早已知道了。
（太 7:8）	因為凡祈求的，就得着；尋找的，就尋見；叩門的，就給他開門。
（可 11:24）	所以我告訴你們，凡你們禱告祈求的，無論是甚麼，只要信是得着的，就必得着。
（路 11:13）	你們雖然不好，尚且知道拿好東西給兒女；何況天父，豈不更將聖靈給求他的人嗎？」
（約 14:13-14）	你們奉我的名無論求甚麼，我必成就，叫父因兒子得榮耀。你們若奉我的名求甚麼，我必成就。」
（約 15:7）	你們若常在我裏面，我的話也常在你們裏面，凡你們所願意的，祈求，就給你們成就。
（約 15:16）	不是你們揀選了我，是我揀選了你們，並且分派你們去結果子，叫你們的果子常存，使你們奉我的名，無論向父求甚麼，他就賜給你們。
（約 16:23-24）	到那日，你們甚麼也就不問我了。我實實在在地告訴你們，你們若向父求甚麼，他必因我的名賜給你們。向來你們沒有奉我的名求甚麼，如今你們求，就必得着，叫你們的喜樂可以滿足。」
（羅 5:2）	我們又藉着他，因信得進入現在所站的這恩典中，並且歡歡喜喜盼望上帝的榮耀。
（弗 2:18）	因為我們兩下藉着他被一個〔聖〕靈所感，得以進到父面前。
（弗 3:11-12）	這是照上帝從萬世以前，在我們主基督耶穌裏所定的旨意。我們因信耶穌，就在他裏面放膽無懼，篤信不疑地來到上帝面前。
（弗 3:20）	上帝能照着運行在我們心裏的大力充充足足地成就一切，超過我們所求所想的。
（腓 4:6-7）	應當一無掛慮，只要凡事藉着禱告、祈求，和感謝，將你們所要的告訴上帝。上帝所賜、出人意外的平安必在基督耶穌裏保守你們的心懷意念。
（來 4:15-16）	因我們的大祭司並非不能體恤我們的軟弱。他也曾凡事受過試探，與我們一樣，只是他沒有犯罪。所以，我們只管坦然無懼地來到施恩的寶座前，為要得憐恤，蒙恩惠，作隨時的幫助。
（雅 5:16）	所以你們要彼此認罪，互相代求，使你們可以得醫治。義人祈禱所發的力量是大有功效的。
（約一 5:14-15）	我們若照他的旨意求甚麼，他就聽我們，這是我們向他所存坦然無懼的心。既然知道他聽我們一切所求的，就知道我們所求於他的，無不得着。

4.3.{3}	Promises of God’s Intention to Save Us
（詩 106:8）	然而，他因自己的名拯救他們， 為要彰顯他的大能，
（結 36:25-27）	我必用清水灑在你們身上，你們就潔淨了。我要潔淨你們，使你們脫離一切的污穢，棄掉一切的偶像。我也要賜給你們一個新心，將新靈放在你們裏面，又從你們的肉體中除掉石心，賜給你們肉心。我必將我的靈放在你們裏面，使你們順從我的律例，謹守遵行我的典章。
（詩 107:20）	他發命醫治他們， 救他們脫離死亡。
（賽 45:17）	惟有以色列必蒙耶和華的拯救， 得永遠的救恩。 你們必不蒙羞，也不抱愧， 直到永世無盡。
（賽 55:5）	你素不認識的國民，你也必召來； 素不認識你的國民也必向你奔跑， 都因耶和華－你的上帝以色列的聖者， 因為他已經榮耀你。
（賽 65:1）	素來沒有訪問〔我的〕，現在求問我； 沒有尋找我的，我叫他們遇見； 沒有稱為我名下的，我對他們說： 我在這裏！我在這裏！
（耶 50:4-5）	耶和華說：「當那日子、那時候，以色列人要和猶大人同來，隨走隨哭，尋求耶和華－他們的上帝。他們必訪問錫安，又面向這裏，〔說〕：『來吧，你們要與耶和華聯合為永遠不忘的約。』
（結 11:19-20）	我要使他們有合一的心，也要將新靈放在他們裏面，又從他們肉體中除掉石心，賜給他們肉心，使他們順從我的律例，謹守遵行我的典章。他們要作我的子民，我要作他們的上帝。
（結 18:23）	主耶和華說：惡人死亡，豈是我喜悅的嗎？不是喜悅他回頭離開所行的道存活嗎？
（結 18:32）	主耶和華說：我不喜悅那死人之死，所以你們當回頭而存活。」
（何 2:19-20）	我必聘你永遠歸我為妻，以仁義、公平、慈愛、憐憫聘你歸我；也以誠實聘你歸我，你就必認識〔我〕－耶和華。
（珥 2:32）	到那時候，凡求告耶和華名的就必得救；因為照耶和華所說的，在錫安山，耶路撒冷必有逃脫的人，在剩下的人中必有耶和華所召的。」
（路 5:32）	我來本不是召義人悔改，乃是召罪人悔改。」
（路 19:10）	人子來，為要尋找、拯救失喪的人。」
（約 5:24-25）	我實實在在地告訴你們，那聽我話、又信差我來者的，就有永生；不至於定罪，是已經出死入生了。我實實在在地告訴你們，時候將到，現在就是了，死人要聽見上帝兒子的聲音，聽見的人就要活了。
（約 6:37）	凡父所賜給我的人必到我這裏來；到我這裏來的，我總不丟棄他。
（約 6:65）	耶穌又說：「所以我對你們說過，若不是蒙我父的恩賜，沒有人能到我這裏來。」
（約 10:9）	我就是門；凡從我進來的，必然得救，並且出入得草吃。
（約 11:25-26）	耶穌對她說：「復活在我，生命也在我。信我的人雖然死了，也必復活；凡活着信我的人必永遠不死。你信這話嗎？」
（約 14:6）	耶穌說：「我就是道路、真理、生命；若不藉着我，沒有人能到父那裏去。
（約 20:31）	但記這些事要叫你們信耶穌是基督，是上帝的兒子，並且叫你們信了他，就可以因他的名得生命。
（徒 2:38-39）	彼得說：「你們各人要悔改，奉耶穌基督的名受洗，叫你們的罪得赦，就必領受所賜的聖靈；因為這應許是給你們和你們的兒女，並一切在遠方的人，就是主－我們上帝所召來的。」
（徒 3:19-20）	所以，你們當悔改歸正，使你們的罪得以塗抹，這樣，那安舒的日子就必從主面前來到；主也必差遣所預定給你們的基督（耶穌）降臨。
（徒 11:18）	眾人聽見這話，就不言語了，只歸榮耀與上帝，說：「這樣看來，上帝也賜恩給外邦人，叫他們悔改得生命了。」
（徒 13:38）	所以，弟兄們，你們當曉得：赦罪的道是由這人傳給你們的。
（徒 16:31）	他們說：「當信主耶穌，你和你一家都必得救。」
（徒 26:18）	我差你到他們那裏去，要叫他們的眼睛得開，從黑暗中歸向光明，從撒但權下歸向上帝；又因信我，得蒙赦罪，和一切成聖的人同得基業。』」
（羅 1:16）	我不以福音為恥；這福音本是上帝的大能，要救一切相信的，先是猶太人，後是希臘人。
（羅 4:5）	惟有不做工的，只信稱罪人為義的上帝，他的信就算為義。
（羅 5:1）	我們既因信稱義，就藉着我們的主耶穌基督得與上帝相和。
（羅 5:8）	惟有基督在我們還作罪人的時候為我們死，上帝的愛就在此向我們顯明了。
（羅 8:1）	如今，那些在基督耶穌裏的就不定罪了。
（羅 9:16）	據此看來，這不在乎那定意的，也不在乎那奔跑的，只在乎發憐憫的上帝。
（羅 10:4）	律法的總結就是基督，使凡信他的都得着義。
（羅 10:9）	你若口裏認耶穌為主，心裏信上帝叫他從死裏復活，就必得救。
（羅 10:12-13）	猶太人和希臘人並沒有分別，因為眾人同有一位主；他也厚待一切求告他的人。因為「凡求告主名的就必得救」。
（羅 10:17）	可見，信道是從聽道來的，聽道是從基督的話來的。
（林前 1:18）	因為十字架的道理，在那滅亡的人為愚拙；在我們得救的人，卻為上帝的大能。
（林前 15:22）	在亞當裏眾人都死了；照樣，在基督裏眾人也都要復活。
（林前 15:49）	我們既有屬土的形狀，將來也必有屬天的形狀。
（林後 5:19）	這就是上帝在基督裏，叫世人與自己和好，不將他們的過犯歸到他們身上，並且將這和好的道理託付了我們。
（林後 5:21）	上帝使那無罪〔註：無罪：原文是不知罪〕的，替我們成為罪，好叫我們在他裏面成為上帝的義。
（帖前 5:9）	因為上帝不是預定我們受刑，乃是預定我們藉着我們主耶穌基督得救。
（弗 2:8-9）	你們得救是本乎恩，也因着信；這並不是出於自己，乃是上帝所賜的；也不是出於行為，免得有人自誇。
（提前 2:3-4）	這是好的，在上帝我們救主面前可蒙悅納。他願意萬人得救，明白真道。
（提後 1:10）	但如今藉着我們救主基督耶穌的顯現才表明出來了。他已經把死廢去，藉着福音，將不能壞的生命彰顯出來。
（多 3:5-6）	他便救了我們；並不是因我們自己所行的義，乃是照他的憐憫，藉着重生的洗和聖靈的更新。聖靈就是上帝藉着耶穌基督－我們救主厚厚澆灌在我們身上的，
（來 7:25）	凡靠着他進到上帝面前的人，他都能拯救到底；因為他是長遠活着，替他們祈求。
（來 8:10-12）	主又說： 那些日子以後， 我與以色列家所立的約乃是這樣： 我要將我的律法放在他們裏面， 寫在他們心上； 我要作他們的上帝； 他們要作我的子民。他們不用各人教導自己的鄉鄰和自己的弟兄， 說：你該認識主； 因為他們從最小的到至大的，都必認識我。我要寬恕他們的不義， 不再記念他們的罪愆。
（來 9:26）	如果這樣，他從創世以來，就必多次受苦了。但如今在這末世顯現一次，把自己獻為祭，好除掉罪。
（來 10:14）	因為他一次獻祭，便叫那得以成聖的人永遠完全。
（彼後 3:9）	主所應許的〔尚未成就〕，有人以為他是耽延，其實不是耽延，乃是寬容你們，不願有一人沉淪，乃願人人都悔改。
（約一 5:11-12）	這見證就是上帝賜給我們永生；這〔永〕生也是在他兒子裏面。人有了〔上帝的〕兒子就有生命，沒有上帝的兒子就沒有生命。
（約一 5:20）	我們也知道，上帝的兒子已經來到，且將智慧賜給我們，使我們認識那位真實的，我們也在那位真實的裏面，就是在他兒子耶穌基督裏面。這是真神，也是永生。
（啟 1:5）	並那誠實作見證的、從死裏首先復活、為世上君王元首的耶穌基督，有恩惠、平安歸與你們！ 他愛我們，用自己的血使我們脫離〔註：有古卷：洗去〕罪惡，
（啟 22:17）	〔聖〕靈和新婦都說：「來！」聽見的人也該說：「來！」口渴的人也當來；願意的，都可以白白取生命的水〔喝〕。

4.4.{3}	Promises of God’s Intention to Save the Nations
（創 22:18）	並且地上萬國都必因你的後裔得福，因為你聽從了我的話。』」
（詩 2:8）	你求我，我就將列國賜你為基業， 將地極賜你為田產。
（詩 86:9）	主啊，你所造的萬民都要來敬拜你； 他們也要榮耀你的名。
（賽 49:6）	現在他說：你作我的僕人， 使雅各眾支派復興， 使以色列中得保全的歸回尚為小事， 我還要使你作外邦人的光， 叫你施行我的救恩，直到地極。
（可 11:17）	便教訓他們說：「〔經上〕不是記着說： 我的殿必稱為萬國禱告的殿嗎？ 你們倒使它成為賊窩了。」
（賽 61:11）	田地怎樣使百穀發芽， 園子怎樣使所種的發生， 主耶和華必照樣 使公義和讚美在萬民中發出。
（耶 4:1-2）	耶和華說：以色列啊， 你若回來歸向我， 若從我眼前除掉你可憎的〔偶像〕， 你就不被遷移。你必憑誠實、公平、公義， 指着永生的耶和華起誓； 列國必因耶和華稱自己為有福， 也必因他誇耀。
（結 38:23）	我必顯為大，顯為聖，在多國人的眼前顯現；他們就知道我是耶和華。」
（瑪 1:11）	萬軍之耶和華說：從日出之地到日落之處，我的名在外邦中必尊為大。在各處，人必奉我的名燒香，獻潔淨的供物，因為我的名在外邦中必尊為大。
（瑪 1:14）	行詭詐的在群中有公羊，他許願卻用有殘疾的獻給主，這人是可咒詛的。因為我是大君王，我的名在外邦中是可畏的。這是萬軍之耶和華說的。
（太 24:14）	這天國的福音要傳遍天下，對萬民作見證，然後末期才來到。」
（羅 1:5）	我們從他受了恩惠並使徒的職分，在萬國之中叫人為他的名信服真道；
（羅 16:25-26）	惟有上帝能照我所傳的福音和所講的耶穌基督，並照永古隱藏不言的奧祕，堅固你們的心。這奧祕如今顯明出來，而且按着永生上帝的命，藉眾先知的書指示萬國的民，使他們信服真道。
（啟 7:9-10）	此後，我觀看，見有許多的人，沒有人能數過來，是從各國、各族、各民、各方來的，站在寶座和羔羊面前，身穿白衣，手拿棕樹枝，大聲喊着說：「願救恩歸與坐在寶座上我們的上帝，也歸與羔羊！」

4.5.{3}	Promises of God’s Love for His People
（申 33:3）	他疼愛百姓； 眾聖徒都在他手中。 他們坐在他的腳下， 領受他的言語。
（詩 32:10）	惡人必多受苦楚； 惟獨倚靠耶和華的必有慈愛四面環繞他。
（詩 33:18）	耶和華的眼目看顧敬畏他的人 和仰望他慈愛的人，
（詩 62:12）	主啊，慈愛也是屬乎你， 因為你照着各人所行的報應他。
（詩 86:5）	主啊，你本為良善，樂意饒恕人， 有豐盛的慈愛賜給凡求告你的人。
（詩 89:14）	公義和公平是你寶座的根基； 慈愛和誠實行在你前面。
（詩 103:4）	他救贖你的命脫離死亡， 以仁愛和慈悲為你的冠冕。
（詩 103:8）	耶和華有憐憫，有恩典， 不輕易發怒，且有豐盛的慈愛。
（詩 103:11）	天離地何等的高， 他的慈愛向敬畏他的人也是何等的大！
（箴 16:6）	因憐憫誠實，罪孽得贖； 敬畏耶和華的，遠離惡事。
（賽 49:15）	婦人焉能忘記她吃奶的嬰孩， 不憐恤她所生的兒子？ 即或有忘記的， 我卻不忘記你。
（賽 54:10）	大山可以挪開， 小山可以遷移； 但我的慈愛必不離開你； 我平安的約也不遷移。 這是憐恤你的耶和華說的。
（哀 3:22）	我們不致消滅， 是出於耶和華諸般的慈愛； 是因他的憐憫不致斷絕。
（哀 3:32）	主雖使人憂愁， 還要照他諸般的慈愛發憐憫。
（彌 7:18）	上帝啊，有何神像你，赦免罪孽， 饒恕你產業之餘民的罪過， 不永遠懷怒，喜愛施恩？
（詩 139:16-18）	我未成形的體質，你的眼早已看見了； 你所定的日子，我尚未度一日〔註：或譯：我被造的肢體尚未有其一〕， 你都寫在你的冊上了。上帝啊，你的意念向我何等寶貴！ 其數何等眾多！我若數點，比海沙更多； 我睡醒的時候，仍和你同在。
（詩 142:3）	我的靈在我裏面發昏的時候， 你知道我的道路。 在我行的路上， 敵人為我暗設網羅。
（何 3:1）	耶和華對我說：「你再去愛一個淫婦，就是她情人所愛的；好像以色列人，雖然偏向別神，喜愛葡萄餅，耶和華還是愛他們。」
（番 3:17）	耶和華－你的上帝是施行拯救、 大有能力的〔主〕。 他在你中間必因你歡欣喜樂， 默然愛你，且因你喜樂而歡呼。
（太 10:29-31）	兩個麻雀不是賣一分銀子嗎？若是你們的父不許，一個也不能掉在地上；就是你們的頭髮也都被數過了。所以，不要懼怕，你們比許多麻雀還貴重！」
（約 15:9）	我愛你們，正如父愛我一樣；你們要常在我的愛裏。
（羅 1:7）	我寫信給你們在羅馬、為上帝所愛、奉召作聖徒的眾人。願恩惠、平安從我們的父上帝並主耶穌基督歸與你們！
（羅 8:31-32）	既是這樣，還有甚麼說的呢？上帝若幫助我們，誰能敵擋我們呢？上帝既不愛惜自己的兒子，為我們眾人捨了，豈不也把萬物和他一同白白地賜給我們嗎？
（羅 8:38-39）	因為我深信無論是死，是生，是天使，是掌權的，是有能的，是現在的事，是將來的事，是高處的，是低處的，是別的受造之物，都不能叫我們與上帝的愛隔絕；這愛是在我們的主基督耶穌裏的。
（弗 1:4-5）	就如上帝從創立世界以前，在基督裏揀選了我們，使我們在他面前成為聖潔，無有瑕疵；又因愛我們，就按着自己的意旨所喜悅的，預定我們藉着耶穌基督得兒子的名分，
（約一 3:1）	你看父賜給我們是何等的慈愛，使我們得稱為上帝的兒女；我們也真是他的兒女。世人所以不認識我們，是因未曾認識他。
（約一 4:9-10）	上帝差他獨生子到世間來，使我們藉着他得生，上帝愛我們的心在此就顯明了。不是我們愛上帝，乃是上帝愛我們，差他的兒子為我們的罪作了挽回祭，這就是愛了。
（撒下 22:20）	他又領我到寬闊之處； 他救拔我，因他喜悅我。
（詩 37:23-24）	義人的腳步被耶和華立定； 他的道路，耶和華也喜愛。他雖失腳也不致全身仆倒， 因為耶和華用手攙扶他〔註：或譯：攙扶他的手〕。
（詩 44:3）	因為他們不是靠自己的刀劍得地土， 也不是靠自己的膀臂得勝， 乃是靠你的右手、你的膀臂， 和你臉上的亮光， 因為你喜悅他們。
（賽 40:11）	他必像牧人牧養自己的羊群， 用膀臂聚集羊羔抱在懷中， 慢慢引導那乳養小羊的。
（詩 103:5）	他用美物使你所願的得以知足， 以致你如鷹返老還童。
（詩 107:9）	因他使心裏渴慕的人得以知足， 使心裏飢餓的人得飽美物。

4.6.{3}	Promises to the Church
（詩 130:8）	他必救贖以色列脫離一切的罪孽。
（詩 87:5-6）	論到錫安，必說： 這一個、那一個都生在其中， 而且至高者必親自堅立這城。當耶和華記錄萬民的時候， 他要點出這一個生在那裏。（細拉）
（詩 133:1）	看哪，弟兄和睦同居 是何等地善，何等地美！
（詩 133:3）	又好比黑門的甘露降在錫安山； 因為在那裏有耶和華所命定的福， 就是永遠的生命。
（詩 135:14）	耶和華要為他的百姓伸冤， 為他的僕人後悔。
（賽 49:15）	婦人焉能忘記她吃奶的嬰孩， 不憐恤她所生的兒子？ 即或有忘記的， 我卻不忘記你。
（賽 54:1）	你這不懷孕、不生養的要歌唱； 你這未曾經過產難的要發聲歌唱，揚聲歡呼； 因為沒有丈夫的比有丈夫的兒女更多。 這是耶和華說的。
（加 4:27-29）	因為〔經上〕記着： 不懷孕、不生養的，你要歡樂； 未曾經過產難的，你要高聲歡呼； 因為沒有丈夫的，比有丈夫的兒女更多。弟兄們，我們是憑着應許作兒女，如同以撒一樣。當時，那按着血氣生的逼迫了那按着〔聖〕靈生的，現在也是這樣。
（賽 56:7）	我必領他們到我的聖山， 使他們在禱告我的殿中喜樂。 他們的燔祭和〔平安〕祭， 在我壇上必蒙悅納， 因我的殿必稱為萬民禱告的殿。
（賽 58:10-12）	你心若向飢餓的人發憐憫， 使困苦的人得滿足， 你的光就必在黑暗中發現； 你的幽暗必變如正午。耶和華也必時常引導你， 在乾旱之地使你心滿意足， 骨頭強壯。 你必像澆灌的園子， 又像水流不絕的泉源。那些出於你的人必修造久已荒廢之處； 你要建立〔拆毀〕累代的根基。 你必稱為補破口的， 和重修路徑與人居住的。
（賽 60:1-5）	興起，發光！因為你的光已經來到！ 耶和華的榮耀發現照耀你。看哪，黑暗遮蓋大地， 幽暗遮蓋萬民， 耶和華卻要顯現照耀你； 他的榮耀要現在你身上。萬國要來就你的光； 君王要來就你發現的光輝。你舉目向四方觀看； 眾人都聚集來到你這裏。 你的眾子從遠方而來； 你的眾女也被懷抱而來。那時，你看見就有光榮； 你心又跳動又寬暢； 因為大海豐盛的〔貨物〕必轉來歸你； 列國的財寶也必來歸你。
（賽 60:15）	你雖然被撇棄被厭惡， 甚至無人經過， 我卻使你變為永遠的榮華， 成為累代的喜樂。
（賽 62:2-4）	列國必見你的公義； 列王必見你的榮耀。 你必得新名的稱呼， 是耶和華親口所起的。你在耶和華的手中要作為華冠， 在你上帝的掌上必作為冕旒。你必不再稱為「撇棄的」； 你的地也不再稱為「荒涼的」。 你卻要稱為「我所喜悅的」； 你的地也必稱為「有夫之婦」。 因為耶和華喜悅你， 你的地也必歸他。
（耶 31:31）	耶和華說：「日子將到，我要與以色列家和猶大家另立新約，
（耶 31:33-34）	耶和華說：「那些日子以後，我與以色列家所立的約乃是這樣：我要將我的律法放在他們裏面，寫在他們心上。我要作他們的上帝，他們要作我的子民。他們各人不再教導自己的鄰舍和自己的弟兄說：『你該認識耶和華』，因為他們從最小的到至大的都必認識我。我要赦免他們的罪孽，不再記念他們的罪惡。這是耶和華說的。」
（耶 31:9）	他們要哭泣而來。 我要照他們懇求的引導他們， 使他們在河水旁走正直的路， 在其上不致絆跌； 因為我是以色列的父， 以法蓮是我的長子。
（結 34:31）	你們作我的羊，我草場上的羊，乃是以色列人，我也是你們的上帝。這是主耶和華說的。」
（結 37:26-28）	並且我要與他們立平安的約，作為永約。我也要將他們安置在〔本地〕，使他們的人數增多，又在他們中間設立我的聖所，直到永遠。我的居所必在他們中間；我要作他們的上帝，他們要作我的子民。我的聖所在以色列人中間直到永遠，外邦人就必知道我是叫以色列成為聖的耶和華。」
（但 7:27）	國度、權柄，和天下諸國的大權 必賜給至高者的聖民。 他的國是永遠的； 一切掌權的都必事奉他，順從他。
（何 1:10）	然而，以色列的人數必如海沙，不可量，不可數。從前在甚麼地方對他們說「你們不是我的子民」，將來在那裏必對他們說「〔你們是〕永生上帝的兒子」。
（羅 9:24-26）	這〔器皿〕就是我們被上帝所召的，不但是從猶太人中，也是從外邦人中。這有甚麼不可呢？就像上帝在何西阿書上說： 那本來不是我子民的， 我要稱為「我的子民」； 本來不是蒙愛的， 我要稱為「蒙愛的」。從前在甚麼地方對他們說： 你們不是我的子民， 將來就在那裏稱他們為「永生上帝的兒子」。
（彌 4:1-2）	末後的日子， 耶和華殿的山必堅立， 超乎諸山，高舉過於萬嶺； 萬民都要流歸這山。必有許多國的民前往，說： 來吧，我們登耶和華的山， 奔雅各上帝的殿。 主必將他的道教訓我們； 我們也要行他的路。 因為訓誨必出於錫安； 耶和華的言語必出於耶路撒冷。
（彌 7:15）	耶和華說： 我要把奇事顯給他們看， 好像出埃及地的時候一樣。
（番 3:11-12）	當那日，你必不因你一切得罪我的事自覺羞愧； 因為那時我必從你中間除掉矜誇高傲之輩， 你也不再於我的聖山狂傲。我卻要在你中間留下困苦貧寒的民； 他們必投靠我－耶和華的名。
（番 3:19-20）	那時，我必罰辦一切苦待你的人， 又拯救你瘸腿的，聚集你被趕出的。 那些在全地受羞辱的， 我必使他們得稱讚，有名聲。那時，我必領你們進來，聚集你們； 我使你們被擄之人歸回的時候， 就必使你們在地上的萬民中有名聲，得稱讚。 這是耶和華說的。
（亞 2:5）	耶和華說：我要作耶路撒冷四圍的火城，並要作其中的榮耀。」
（該 2:5）	這是〔照着〕你們出埃及我與你們立約的話。那時，我的靈住在你們中間，你們不要懼怕。」
（亞 2:10-11）	錫安城啊，應當歡樂歌唱，因為我來要住在你中間。這是耶和華說的。」那時，必有許多國歸附耶和華，作他〔註：原文是我〕的子民。他〔註：原文是我〕要住在你中間，你就知道萬軍之耶和華差遣我到你那裏去了。
（亞 8:8）	我要領他們來，使他們住在耶路撒冷中。他們要作我的子民，我要作他們的上帝，都憑誠實和公義。」
（亞 9:16-17）	當那日，耶和華－他們的上帝 必看他的民如群羊，拯救他們； 因為〔他們必像〕冠冕上的寶石， 高舉在他的地以上〔註：或譯：在他的地上發光輝〕。他的恩慈何等大！ 他的榮美何其盛！ 五穀健壯少男； 新酒培養處女。
（太 13:43）	那時，義人在他們父的國裏，要發出光來，像太陽一樣。有耳〔可聽〕的，就應當聽！」
（太 16:18-19）	我還告訴你，你是彼得，我要把我的教會建造在這磐石上；陰間的權柄〔註：權柄：原文是門〕不能勝過他。我要把天國的鑰匙給你，凡你在地上所捆綁的，在天上也要捆綁；凡你在地上所釋放的，在天上也要釋放。」
（太 21:13）	對他們說：「〔經上〕記着說： 我的殿必稱為禱告的殿， 你們倒使它成為賊窩了。」
（太 25:34）	於是王要向那右邊的說：『你們這蒙我父賜福的，可來承受那創世以來為你們所預備的國；
（太 28:19-20）	所以，你們要去，使萬民作我的門徒，奉父、子、聖靈的名給他們施洗〔註：或譯：給他們施洗，歸於父、子、聖靈的名〕。凡我所吩咐你們的，都教訓他們遵守，我就常與你們同在，直到世界的末了。」
（約 10:4）	既放出自己的羊來，就在前頭走，羊也跟着他，因為認得他的聲音。
（約 10:14-15）	我是好牧人；我認識我的羊，我的羊也認識我，正如父認識我，我也認識父一樣；並且我為羊捨命。
